term,estimate,lci,uci
(Intercept),118.56339468302605,117.79749729247658,119.32929207357552
factor(Education)Some College,3.7503412870430153,2.654966028456288,4.845716545629743
factor(Education)High School,5.140080220447958,3.9265678987612276,6.353592542134688
factor(Education)9 - 11th Grade,4.688177644017456,3.263448459047474,6.1129068289874375
factor(Education)8th Grade,7.9206348010026915,6.075172210249011,9.766097391756372
